dataset,method,clean_acc,label_flip_10,label_flip_20,label_flip_30,grad_ascent_10,grad_ascent_20,grad_ascent_30,pixel_10_acc,pixel_10_asr,pixel_20_acc,pixel_20_asr,pixel_30_acc,pixel_30_asr,vem_10,vem_20,vem_30
mnist,fedavg,98.18,97.47,78.39,43.37,9.80,9.80,9.80,98.23,65.42,98.23,73.15,98.22,77.31,,,
mnist,bcpbfl,97.98,97.98,97.93,97.02,97.76,96.80,94.80,97.94,36.27,98.07,42.23,97.85,49.26,,,
mnist,rvpfl,98.08,98.16,98.13,98.08,98.02,96.80,94.36,98.16,31.50,98.20,48.35,98.12,53.52,,,
mnist,frl,98.42,97.38,97.71,96.54,94.40,71.61,52.04,98.38,55.31,98.45,70.85,98.59,82.48,93.85,67.77,62.83
mnist,cmgra,98.40,98.01,97.28,96.59,97.50,96.42,95.20,98.33,13.43,98.18,22.27,97.88,24.01,97.04,96.66,95.95
svhn,fedavg,93.53,90.99,81.29,30.29,6.70,6.70,6.70,93.83,50.38,93.68,57.24,93.20,61.44,,,
svhn,bcpbfl,93.31,93.11,92.70,92.00,93.30,92.80,91.80,93.50,10.72,93.30,16.01,93.00,18.23,,,
svhn,rvpfl,92.21,91.96,91.20,90.11,92.67,92.30,90.85,93.80,8.03,93.50,20.66,93.10,24.14,,,
svhn,frl,93.04,93.16,93.10,86.89,88.88,71.31,19.59,92.81,6.42,92.66,44.51,92.68,60.59,85.50,71.28,45.02
svhn,cmgra,92.98,93.30,93.39,92.78,92.48,89.21,86.72,93.46,2.59,93.51,12.65,93.19,18.36,89.80,88.64,86.74
cifar10,fedavg,83.36,79.16,79.34,40.49,5.64,12.97,10.00,84.10,25.28,84.17,51.36,83.86,60.36,,,
cifar10,bcpbfl,80.33,79.51,77.80,68.44,78.27,77.07,76.94,77.31,5.17,77.39,9.79,77.21,27.19,,,
cifar10,rvpfl,82.80,80.71,79.08,68.94,77.61,75.71,73.35,83.52,8.56,83.70,12.96,83.88,14.76,,,
cifar10,frl,80.16,78.91,75.38,47.61,54.00,6.63,9.93,80.23,5.42,80.36,44.59,80.97,58.94,40.30,21.50,16.80
cifar10,cmgra,80.01,79.07,77.97,70.96,77.83,77.53,75.31,81.18,3.62,80.47,7.30,78.15,15.47,78.00,75.50,74.50
